,title,mal id,type,score,total episodes,english title,air date start,air date end,average score,rank,popularity,genre,studio,source,season
0,1000-nen Joou: Queen Millennia,1549,Movie,6,1,,1982-03-13T00:00:00+00:00,,6.81,4343,7180,Adventure,Toei Animation,Manga,
1,1001 Nights,3914,Movie,0,1,,1999-04-24T00:00:00+00:00,,6.3,6761,4862,Demons,,Unknown,
2,A Kite,320,OVA,6,2,Kite,1998-02-25T00:00:00+00:00,1998-10-25T00:00:00+00:00,6.57,,2255,Action,Arms,Original,
3,A-Girl,5447,OVA,8,1,A-Girl,1993-09-24T00:00:00+00:00,,5.58,9259,8728,Music,Madhouse,Manga,
4,Abenobashi Mahou☆Shoutengai,306,TV,9,13,Magical☆Shopping Arcade Abenobashi,2002-04-04T00:00:00+00:00,2002-06-27T00:00:00+00:00,7.26,2503,1718,Comedy,Gainax,Original,Spring 2002
5,Africa no Salaryman (TV),39590,TV,6,12,Africa Salaryman,2019-10-07T00:00:00+00:00,2019-12-23T00:00:00+00:00,6.51,5738,3732,Slice of Life,HOTZIPANG,Web manga,Fall 2019
6,Ahiru Rikusentai,28241,Movie,6,1,Duck Brigade,1940-01-01T00:00:00+00:00,,5.13,10170,10849,Action,,Original,
7,Aho Girl,34881,TV,8,12,AHO-GIRL,2017-07-04T00:00:00+00:00,2017-09-19T00:00:00+00:00,6.95,3769,403,Comedy,Diomedea,4-koma manga,Summer 2017
8,AIKa,366,OVA,5,7,Agent AIKa,1997-04-25T00:00:00+00:00,1999-04-25T00:00:00+00:00,5.95,8208,3079,Action,Studio Fantasia,Original,
9,AIKa: Special Trial,4718,Special,5,1,,1998-05-25T00:00:00+00:00,,5.69,8972,5849,Ecchi,Studio Fantasia,Original,
10,Akira,47,Movie,8,1,AKIRA,1988-07-16T00:00:00+00:00,,8.17,330,198,Action,Tokyo Movie Shinsha,Manga,
11,Aku no Hana,16201,TV,6,13,Flowers of Evil,2013-04-05T00:00:00+00:00,2013-06-30T00:00:00+00:00,7.15,2947,891,Psychological,Zexcs,Manga,Spring 2013
12,Aldnoah.Zero,22729,TV,6,12,Aldnoah.Zero,2014-07-06T00:00:00+00:00,2014-09-21T00:00:00+00:00,7.46,1695,277,Action,A-1 Pictures,Original,Summer 2014
13,Aldnoah.Zero 2nd Season,27655,TV,5,12,Aldnoah.Zero,2015-01-11T00:00:00+00:00,2015-03-29T00:00:00+00:00,7.01,3556,509,Action,A-1 Pictures,Original,Winter 2015
14,Alexander Senki,1442,TV,7,13,Reign: The Conqueror,1999-09-15T00:00:00+00:00,1999-09-18T00:00:00+00:00,5.72,8900,5736,Action,Madhouse,Novel,Summer 1999
15,Ali Baba to 40-hiki no Touzoku,3843,Movie,0,1,,1971-07-08T00:00:00+00:00,,5.53,9391,9777,Action,Toei Animation,Unknown,
16,Alice in Dreamland,31941,Movie,7,1,,2015-12-19T00:00:00+00:00,,5.21,10046,9303,Adventure,,Other,
17,All That Gundam,5270,Special,0,1,All That Gundam,1989-01-01T00:00:00+00:00,,5.81,8633,6659,Action,Sunrise,Unknown,
18,Amagi Brilliant Park,22147,TV,7,13,Amagi Brilliant Park,2014-10-07T00:00:00+00:00,2014-12-26T00:00:00+00:00,7.54,1453,230,Comedy,Kyoto Animation,Light novel,Fall 2014
19,Amazing Nuts!,1998,Music,6,4,,2006-12-20T00:00:00+00:00,,6.59,5371,5165,Adventure,Studio 4°C,Original,
20,Angel Cop,1351,OVA,6,6,,1989-09-01T00:00:00+00:00,1994-05-20T00:00:00+00:00,5.94,8249,4339,Action,D.A.S.T.,Original,
21,Ani*Kuri15,2832,Special,0,15,,2007-06-07T00:00:00+00:00,2007-06-27T00:00:00+00:00,6.8,4392,3645,Slice of Life,Gonzo,Original,
